user_id,install_date,app_version
000a0efdaf94f2a5a09ab0d03f92f5bf,2014-12-25,v1
0020cb805d63f036ad2c22dd8e76e368,2016-01-16,Unknown
002a9119a4b3dfb05e0159eee40576b6,2015-12-29,v2
0038c5018fb1c0c9d0dea9181a5a0834,2015-06-06,v2
00448cf7dd8ad9e8a57fdcfa262a4438,2015-12-22,v2
0056994164a321003241e539035a6bd1,2015-12-25,v2
005a695bd4f699299398e433fad6b43a,2014-12-26,v1
0077774581e208665c814e3bee08a623,2014-12-31,v1
0085ec0ea9dda86f1a6ff6a73952701f,2015-04-26,v1
009888e8701b6335c322d842b655cf10,2016-01-13,v2
00e09cfc4668720ee445d0873c244a97,2015-05-16,v2
00e323330abb7c75acb26cf7e08d25ad,2016-01-30,v2
00f1f4c46eec55f72a7e4fcd96661e1f,2014-12-26,v1
00f8d07f7943b531d43f73ffff974aeb,2016-01-24,v2
00ff74d69c00a144c8581ccedec79df0,2016-07-16,v3
00ffdb5eb45ae0c2dc8f5146418b3a23,2014-12-25,v1
011fdbf916f9cdb67fad451d92c7671d,2015-09-30,v2
012d5e5c5b2f4b796f8f56744306e806,2015-12-24,v2
01308d17e2731279e4f1c9a96440dc30,2015-04-12,v1
0149facc293ebb75a4608aec0c71b783,2014-12-28,v1
015fabd2b7b4e3b2c3a357d898d92373,2015-01-13,v1
015fe48121d9fb848d194dce6a273c8e,2016-05-02,v3
01675416775b8bae6cfa7fcf85f4cc55,2016-05-08,v2
01788ba226a3609468682cc17742123c,2016-03-13,v2
019080bce880eff23820efc3c67b6d43,2016-01-15,Unknown
01c08470a0bc06339cbf2fb52916b5d0,2016-01-10,v2
01d714240ae4cf62dc44f65a49015315,2015-04-03,v1
01e65303ee4c78e519e254a68ea0be21,2016-01-02,v2
01fdd097ecc05698239d68039663e320,2015-09-01,v2
020ca7ccdee0bf02496c5069518c4a9a,2016-04-07,v2
021734ef36a9ab495fe54973b1d1739e,2015-11-17,v2
021e77b0b8b6213fc7e7f214598afd89,2015-12-29,v2
022e0afa00297c5084b21d7d3f5b1f45,2016-03-16,v2
025c26b96bba7085a6115e6f5cf02f17,2014-12-25,v1
02726047fbcc2ec3818e67dd43b02ec8,2015-11-12,v2
028093caccc87c8eb5b85cc39ab02b2c,2014-12-29,v1
028292b6cfcdd3f31b33268caa28946f,2014-12-23,v1
02887c6d49726278ef795063f05f8b82,2016-01-13,v2
02ab06adead1cb4811d358b0643430b9,2014-12-30,v1
02ab82ca95d1ca18d354f699694b71d6,2016-05-18,v2
02b4d2a95cd239225cf90ca244343ecf,2016-01-26,v2
02b5a39ad3836826e12d1dad60dd3349,2015-12-25,v2
02d7fad57e7abe94bd455feb86f5d6e3,2015-08-09,v2
02e2956b26b77ac4e5fb15ff7a2309e2,2016-07-29,v1
02f20fca26ddc0cdd022aff2e9c616a6,2015-10-09,v2
02fd5305cce536a1940aea0818ba7a3d,2015-03-21,v1
03124f5eee1639cd37ec8c6af7e8cc7f,2015-11-26,v2
031ab3823d824516cff253c81dcb46f0,2016-07-10,v3
032b393ceff20c81ae45d55d232efacd,2015-02-22,v1
03342bbb14ee5f58d067bfea781f8ddb,2014-12-25,v1
033ee2a447d63cba445f9803f94099af,2015-12-17,v1
0349fd89397bdd005f29b379d0983baf,2015-06-30,v2
035deed22a9a56705bb595dbde4e3110,2016-02-15,v2
036156aadff57ed467401eae74cf7799,2015-12-28,v2
03626410ffff885d759eec958cdaa631,2015-10-20,v2
0389e1b766049810845a7aaf5f9fda6e,2015-12-27,v2
038ecbc6fef340002f15d08c4b719d5b,2015-11-27,v2
0390db663c9e205dbd99376991217881,2016-01-24,v2
03935b3dd57ae73029ec20173c665d9d,2016-04-13,v2
03ab9b98900958594724d1f5dfede886,2015-06-11,v2
03d1f88a15a97b03ef9fae319f594133,2015-03-31,v1
03d7df532117d3684b1eed4c80d67ea9,2015-10-30,v2
03f5c6f159b8a681d5018c9627c0774b,2014-12-25,v1
03f765d519c92e553ac2a2c56b271fc9,2016-07-20,v2
04075341970d8a3538ece0527d02040f,2015-12-21,v2
0408e1766e04e8d1c2aaa55268d2d5a7,2015-09-25,v2
0415864ec96ccfd588a880e00255ab1d,2016-04-04,v2
04172f2b03c5f298be5d437ae6340338,2014-12-25,v1
042d61c75ee0c9d6e826d9c3008ea79d,2015-06-13,v2
042dc8baf9bc672654b770fe9a33c23b,2016-03-08,v2
043739209881d8b0197bb2d78f68c287,2016-01-02,v2
0455d4f427c943a02c617d8f2425c903,2014-12-31,v1
046ea944693d9a7a918033faafba1bba,2015-05-30,v2
048b405f5ae33af9db7ca28921908775,2015-12-25,v2
048f26ac44fe7bed3b348e892869faa0,2016-05-21,v2
04a4794a1e09d64c8327240329259138,2016-01-19,v2
04af000b52a7df7b5801b020bdd75418,2015-12-25,v2
04ba939319a964eeb9173f947ac40c7b,2016-04-10,v2
04fee4cba1435181f312901d56ac1119,2016-02-05,v2
050cb585ef589fcdcc3266183b15c398,2014-12-23,v1
05210e090dacaa03e104c37bfadb29c3,2016-01-02,v2
05470007f2d9c850af2733ccd1169ae4,2015-10-24,v2
0550f71b23296d124c2520a2554d7b70,2015-12-25,v2
055a705f8c16702c1acc034b059f2ec8,2016-01-09,v2
